sku,producto,seccion,categoria,marca,presentacion,precio_clp
NESCAFE-DECAF-170G,Cafe Descafeinado Nescafe Decaf Tarro 170g,Cafe,Cafe soluble,Nescafe,170g,7800
NESCAFE-TRAD-400G,Cafe Instantaneo Nescafe Tradicion Tarro 400g,Cafe,Cafe soluble,Nescafe,400g,13000
NESCAFE-FINA-SELECCION,Cafe Nescafe Fina Seleccion,Cafe,Cafe soluble,Nescafe,,12000
GOLD-CAFE-DESC-170,Cafe en polvo descafeinado Gold tarro 170 g,Cafe,Cafe soluble,Gold,170 g,7800
DOLCA-CAFE-INST-170G,Cafe instantaneo Dolca tarro 170 g,Cafe,Cafe soluble,Dolca,170 g,5900
GOLD-CAFE-PRIMERA-SELECCION-TARRO-220,Cafe instantaneo Gold Primera Seleccion tarro 220 g,Cafe,Cafe soluble,Gold,220 g,7800
CAFE-ECCO-INSTANTANEO-TARRO,Cafe Ecco Instantaneo Tarro,Cafe,Instantaneo,Ecco,,3800
acondicionador-ballerina,Acondicionador Ballerina,Cuidado personal,Cuidado capilar,Ballerina,,2000
shampo-ballerina-manzanilla,Shampoo Ballerina manzanilla,Cuidado personal,Cuidado capilar,Ballerina,,2000
axe,Axe desodorante body spray,Cuidado personal,Desodorantes,Axe,,2500
cepillo,Cepillo dental Pepsodent,Cuidado personal,Higiene oral,Pepsodent,,1000
pepsodent-xtra-whitening,Pasta Dental Pepsodent Xtra Whitening,Cuidado personal,Higiene oral,Pepsodent,,1500
HS-SHAMPOO-LIMPIEZA-RENOVADORA-375ML,Shampoo Head & Shoulders Limpieza Renovadora Control Caspa,Cuidado personal,Shampoo,Head & Shoulders,375ml,4500
f6feea2c-8ee3-4bef-b453-b3034ac92de9,Toallas humedas Emubaby,Cuidado personal,Toallas humedas,Emubaby,,1500
milo,Milo bebida en polvo,Despensa,Bebidas en polvo,Milo,,8500
KOTEX-PROTECTOR-DIARIO-NORMAL-SUAVE-40U,Protector Diario Kotex Normal Suave Pack 40 Uds,Higiene personal,Protectores diarios,Kotex,40 un,1600
KOTEX-NOCTURNA-EXTRA-PROTECCION-6U,"Kotex Toallas Higienicas Nocturna Extra Proteccion, 6 Un",Higiene personal,Toallas higienicas,Kotex,6 un,1800
LADYSOFT-NORMAL-TELA-SUAVE-NOCTURNA-7U,"Ladysoft Toallas Higienicas Normal Tela Suave Nocturna, 7 Un",Higiene personal,Toallas higienicas,Ladysoft,7 un,1400
GLADE-SCJOHNSON,Glade,Hogar,Ambientador,SCJohnson,,3000
IGENIX-AEROSOL-DESINF-360CC,Igenix Aerosol Desinfectante Tradicional 360cc,Hogar,Desinfectante,Igenix,360cc,2500
FOSFOROS-TALISMAN,Fosforos Talisman,Hogar,Fosforos,Talisman,,500
baygon,Baygon insecticida,Hogar,Insecticidas,Baygon,,4500
killer,Killer insecticida,Hogar,Insecticidas,Killer,,3200
sobrekiller,Killer insecticida en sobre,Hogar,Insecticidas,Killer,,1190
tanax,Tanax insecticida,Hogar,Insecticidas,Tanax,,3000
bandeja-de-huevo,Bandeja de huevo,Lacteos y huevos,Huevos,Sin marca,,5000
leche-nido,Leche Nido,Lacteos y huevos,Lacteos,Nido,,6500
arom,Arom,Limpieza y aseo del hogar,Aromatizantes,Arom,,1800
